org_nummer,name,municipality_name
716413-5597,Riksbyggens Bostadsrättsförening Hamrångehus nr 1,Gävle
769618-4170,Bostadsrättsföreningen Norra Slotts,Gävle
716458-5841,HSB Bostadsrättsförening Fiskverket i Gävle,Gävle
785000-1103,HSB Bostadsrättsförening Östermalm i Gävle,Gävle
785000-1210,HSB Bostadsrättsförening Guldsmeden i Gävle,Gävle
769621-5131,Bostadsrättsföreningen Linjeskeppet i Gävle,Gävle
716413-5365,Riksbyggen Bostadsrättsförening Gävlehus nr 34,Gävle
785000-1616,Bostadsrättsföreningen Kvarta,Gävle
785000-1566,Bostadsrättsföreningen Kryddkrämaren,Gävle
785000-1160,HSB bostadsrättsförening Stettin i Gävle,Gävle
769631-9818,Riksbyggen Bostadsrättsförening Timmermansgatan,Gävle
716413-3774,HSB Bostadsrättsförening Hemlingby i Gävle,Gävle
769632-7605,Bostadsrättsföreningen Villa Jägaren i Vallbacken,Gävle
785000-1608,Bostadsrättsföreningen Kuttern,Gävle
769623-1690,Bostadsrättsföreningen Superior,Gävle
716413-4244,Riksbyggen Bostadsrättsförening Gävlehus nr 19,Gävle
769623-0551,Bostadsrättsföreningen Byggmästaren 13,Gävle
785000-0212,Bostadsrättsföreningen Bastet i Gävle,Gävle
785000-3430,Bostadsrättsföreningen Grävlingen,Gävle
769608-6441,Bostadsrättsföreningen Norra Varvet,Gävle
769636-3550,Bostadsrättsföreningen Slottsträdgårdsgatan i Gävle,Gävle
785000-2739,Bostadsrättsföreningen Väbeln,Gävle
785000-2713,HSB Bostadsrättsförening Vimpeln i Gävle,Gävle
785000-0022,Bostadsrättsföreningen Adelsklubben nr 3,Gävle
769603-5141,Bostadsrättsföreningen Bo Klok Hemsta,Gävle
785000-2077,Riksbyggen Bostadsrättsförening Gävlehus nr 2,Gävle
785000-2218,Bostadsrättsföreningen Sebohus nr 1 i Gävle,Gävle
769614-0941,Bostadsrättsföreningen Kvinta,Gävle
769619-9376,Bostadsrättsföreningen Borgmästargården i Gävle,Gävle
785000-0774,Bostadsrättsföreningen Gläntan,Gävle
769631-1989,Bostadsrättsföreningen Lancetten nr 1 i Gävle,Gävle
769628-5365,Bostadsrättsförening Smedskogen Strömsbro,Gävle
785000-2119,Riksbyggen Bostadsrättsförening Gävlehus nr 10,Gävle
785000-2374,Bostadsrättsföreningen Stigen,Gävle
785000-2242,Bostadsrättsföreningen Skonerten,Gävle
769636-0531,Bostadsrättsföreningen Södra Hemlingby Gävle,Gävle
785000-2978,Bostadsrättsföreningen Svampen,Gävle
716413-4897,HSB Bostadsrättsförening Gävlehus nr 27 i Gävle,Gävle
785000-0220,Bostadsrättsföreningen Sylen,Gävle
785000-2358,Bostadsrättsföreningen Stenhagen,Gävle
769624-7167,Bostadsrättsföreningen Lövkojan i Gävle,Gävle
716413-6645,Bostadsrättsföreningen Anders Våghals,Gävle
716413-5415,Bostadsrättsföreningen Aten,Gävle
785000-1053,HSB Bostadsrättsförening Södermalm i Gävle,Gävle
785000-0055,Bostadsrättsföreningen Agenten nr 18,Gävle
716458-6328,Bostadsrättsföreningen Björke nr 1,Gävle
716413-5274,Riksbyggen Bostadsrättsförening Gävlehus nr 33,Gävle
785000-0253,Bostadsrättsföreningen Parca nr 1,Gävle
785000-2291,Bostadsrättsföreningen Spartallen,Gävle
769629-0910,Bostadsrättsföreningen Vreten 1 i Gävle,Gävle
769614-5155,Bostadsrättsföreningen Carolina på Gävle Strand,Gävle
769626-9138,Bostadsrättsföreningen Fylgia i Gävle,Gävle
785000-3315,Bostadsrättsföreningen Staffan,Gävle
716413-4558,HSB Bostadsrättsförening Blomstret i Gävle,Gävle
716413-4681,Riksbyggen Bostadsrättsförening Gävlehus nr 25,Gävle
716413-4673,Bostadsrättsförening Tornspiran i Gävle,Gävle
785000-0238,Bostadsrättsföreningen Sätergläntan,Gävle
785000-1640,Bostadsrättsföreningen Källbacken,Gävle
785000-0766,GEVÄRET GÄVLE Bostadsrättsförening,Gävle
769622-3606,Bostadsrättsföreningen Adelsklubben,Gävle
769637-3039,Bostadsrättsföreningen Strömsbroterrassen,Gävle
785000-2036,Riksbyggen Bostadsrättsförening Gävlehus nr 5,Gävle
785000-1921,Bostadsrättsföreningen Norrgården,Gävle
785000-2986,Bostadsrättsföreningen Trattskivlingen i Gävle,Gävle
785000-1434,Bostadsrättsföreningen Jakten,Gävle
716413-5381,Riksbyggens Bostadsrättsförening Valbohus nr 2,Gävle
785000-0485,"Flintlåset, Bostadsrättsförening",Gävle
785000-3406,Bostadsrättsföreningen Mården,Gävle
769619-5358,Bostadsrättsföreningen Villa Vallbacken i Gävle,Gävle
785000-1111,HSB Bostadsrättsförening England i Gävle,Gävle
716413-4871,bostadsrättsföreningen Morianen,Gävle
716413-6587,Riksbyggen Bostadsrättsförening Bergbyhus Nr 1,Gävle
785000-1137,HSB bostadsrättsförening Borgmästaren i Gävle,Gävle
785000-1244,HSB Bostadsrättsförening Lansen i Gävle,Gävle
769630-4109,HSB Bostadsrättsförening Strandkanalen i Gävle,Gävle
785000-2531,Bostadsrättsföreningen Tallen,Gävle
769636-7890,Bostadsrättsföreningen Nyckelpigan i Olsbacka,Gävle
785000-1590,Riksbyggen Bostadsrättsförening Kungsgården,Gävle
716458-5775,Bostadsrättsföreningen Stureborg II,Gävle
785000-1905,Bostadsrättsföreningen Nornan i Gävle,Gävle
716413-6611,HSB Bostadsrättsförening Stuvaren i Gävle,Gävle
785000-0246,Bostadsrättsföreningen Storhagen nr 1,Gävle
785000-0063,Bostadsrättsföreningen Agenten 15,Gävle
769640-2580,Bostadsrättsföreningen Bönahöjden 1,Gävle
716413-3584,HSB Bostadsrättsförening Polstjärnan i Gävle,Gävle
