fastighetsbeteckning,municipality_name,brf_org_nummer
STRÖMSBRO 28:5,Gävle,769628-5365
BRYNÄS 23:5,Gävle,785000-2119
STIGSLUND 43:4,Gävle,785000-2374
BRYNÄS 75:1,Gävle,785000-2242
HEMLINGBY 75:2,Gävle,769636-0531
HÖJERSDAL 23:1,Gävle,785000-2978
NORRTULL 25:7,Gävle,716413-4897
SÖRBY 11:9,Gävle,785000-0220
BRYNÄS 69:15,Gävle,785000-2358
VILLASTADEN 28:18,Gävle,769624-7167
SÖDER 54:1,Gävle,716413-6645
NORR 30:3,Gävle,716413-5415
SÖDERTULL 17:1,Gävle,785000-1053
BRYNÄS 60:9,Gävle,785000-0055
BJÖRKE 4:192,Gävle,716458-6328
SÖDERTULL 24:7,Gävle,716413-6314
NORRTULL 22:2,Gävle,716413-5274
BRYNÄS 68:7,Gävle,785000-0253
VARVA 7:41,Gävle,785000-2291
SÖDER 20:2,Gävle,769629-0910
ALDERHOLMEN 38:8,Gävle,769614-5155
VALLBACKEN 20:13,Gävle,769626-9138
BRYNÄS 67:8,Gävle,785000-3315
SÖDERTULL 8:10,Gävle,716413-4558
NORR 18:2,Gävle,716413-4681
ALDERHOLMEN 38:7,Gävle,769614-5155
SÖDERTULL 41:9,Gävle,785000-3281
VÄSTER 22:3,Gävle,716413-4673
STIGSLUND 42:4,Gävle,785000-0238
STIGSLUND 43:6,Gävle,785000-1640
BRYNÄS 66:19,Gävle,785000-0360
VILLASTADEN 24:8,Gävle,785000-0766
VÄSTER 21:6,Gävle,769622-3606
SÖDERTULL 41:10,Gävle,785000-3281
FREDRIKSSKANS 2:80,Gävle,769637-3039
SÖDER 65:10,Gävle,785000-2036
NORRTULL 18:5,Gävle,785000-1921
HÖJERSDAL 15:1,Gävle,785000-2986
BRYNÄS 66:17,Gävle,785000-1434
MARKHEDEN 2:10,Gävle,716413-5381
BRYNÄS 66:14,Gävle,785000-0485
SÄTRA 27:1,Gävle,785000-3406
VALLBACKEN 5:11,Gävle,769619-5358
SÖDER 11:6,Gävle,785000-1111
SÖDER 73:3,Gävle,716413-4871
ÅBYN 12:38,Gävle,716413-6587
SÖDER 13:2,Gävle,785000-1137
STRÖMSBRO 21:1,Gävle,785000-1244
ALDERHOLMEN 5:24,Gävle,769630-4109
BJÖRSJÖ 41:1,Gävle,716413-4079
STIGSLUND 40:1,Gävle,785000-2531
OLSBACKA 48:2,Gävle,769636-7890
NORRTULL 18:6,Gävle,785000-1590
ANDERSBERG 37:8,Gävle,716458-5775
STIGSLUND 51:3,Gävle,785000-2028
VALLBACKEN 14:1,Gävle,785000-1905
ALDERHOLMEN 38:6,Gävle,716413-6611
LILLHAGEN 44:1,Gävle,785000-0246
BRYNÄS 66:15,Gävle,785000-1434
BRYNÄS 59:9,Gävle,785000-0063
NORRLANDET 10:3,Gävle,769640-2580
ANDERSBERG 32:1,Gävle,716413-3584
HEMLINGBY 70:21,Gävle,769631-9958
SÖDER 56:7,Gävle,785000-2895
OLSBACKA 47:13,Gävle,785000-0139
BJÖRSJÖ 1:1,Gävle,716413-3618
OLSBACKA 32:1,Gävle,785000-2499
STRÖMSBRO 28:1,Gävle,785000-2267
STRÖMSBRO 14:2,Gävle,716413-6462
SÖDERTULL 27:2,Gävle,769636-7783
SÖRBY 4:2,Gävle,785000-2259
SÖDER 52:1,Gävle,785000-0782
BRYNÄS 78:5,Gävle,785000-0196
VÄSTER 23:7,Gävle,716451-1417
FRIDHEM 4:1,Gävle,785000-2333
OLSBACKA 47:1,Gävle,785000-1897
VÄSTER 19:2,Gävle,785000-1129
BRYNÄS 57:2,Gävle,785000-0626
VÄSTER 11:19,Gävle,785000-2309
LILLHAGEN 11:6,Gävle,716413-5670
BRYNÄS 52:1,Gävle,785000-3364
BRYNÄS 7:2,Gävle,769626-8734
VÄSTER 8:2,Gävle,769633-0302
NORRSUNDET 15:117,Gävle,716458-5692
SÖDER 44:5,Gävle,785000-2044
FRIDHEM 22:1,Gävle,785000-0576
VÄSTER 22:10,Gävle,785000-1061
SÄTRA 80:1,Gävle,785000-3141
FREDRIKSSKANS 2:78,Gävle,769637-9838
BJÖRSJÖ 30:63,Gävle,716413-4426
SÄTRA 170:1,Gävle,716413-5720
SÖDER 16:8,Gävle,769626-0749
STIGSLUND 49:4,Gävle,785000-0436
